,제목,별점,사람,기타정보,상영시간
34365,,0,0,[],
34372,특별시 사람들,2.8,82,['2007 ・ 드라마 ・ 한국'],
34373,천국에도 맥주가 있을까?,3.9,4,['1984 ・ 다큐멘터리 ・ 미국'],50분
34374,왓츠 더 트루스?,1.5,1,['2002 ・ 드라마 ・ 한국'],11분
34375,부루,2.9,4,['2006 ・ 애니메이션 ・ 한국'],15분
34376,방주,2.8,3,['2004 ・ 한국'],9분
34379,,0,0,[],
34381,Murmur,2.3,11,['2006 ・ 판타지 ・ 한국'],6분
34382,머니 카니발,3.0,1,['2008 ・ 애니메이션 ・ 한국'],7분
34383,소규모 옥상 밴드,2.5,1,['2006 ・ 한국'],19분
34385,,0,0,[],
34387,겟어웨이,1.8,2,['1999 ・ 애니메이션 ・ 한국'],5분
34388,,0,0,[],
34391,오토,2.6,4,['2000 ・ 애니메이션 ・ 한국'],5분
34392,엄마...,3.9,21,['2004 ・ 다큐멘터리 ・ 한국'],49분
34394,,0,0,[],
34396,무인도에 누군가 데려간다면,2.1,90,['2019 ・ 코미디 ・ 스페인'],
34398,,0,0,[],
34400,,0,0,[],
34401,더 비러브드 도터,0,0,['2020 ・ 다큐멘터리 ・ 핀란드'],1시간 11분
34402,,0,0,[],
34405,,0,0,[],
34406,향기로운 정원,0,0,['2000 ・ 다큐멘터리 ・ 미국'],52분
34408,그 애는 여기 있어요,2.5,60,['2016 ・ 한국'],23분
34410,오후,0,0,['2005 ・ 드라마 ・ 한국'],38분
34413,어둠이 사라지고,3.0,1,['2016 ・ 단편 ・ 한국'],10분
34414,,0,0,[],
34420,더 돌,1.7,3,['2000 ・ 판타지 ・ 한국'],7분
34421,미녀 삼총사,3.4,26만,['2000 ・ 액션 ・ 미국 ・ 독일'],
34422,,0,0,[],
34423,Steps: The End Of The Road,0,0,['2002 ・ 영국'],1시간 43분
34425,,0,0,[],
34428,,0,0,[],
34433,미션 임파서블,4.0,30만,['1996 ・ 액션 ・ 미국'],
34436,Shake,1.8,6,['1999 ・ 애니메이션 ・ 한국'],3분
34437,Where Is My Friend?,2.3,5,['2007 ・ 애니메이션 ・ 한국'],5분
34438,뉴욕 아이 러브 유,3.1,1만,['2008 ・ 로맨틱코미디 ・ 프랑스 ・ 미국'],
34439,,0,0,[],
34441,,0,0,[],
34443,,0,0,[],
34444,어게인,2.1,88,['2018 ・ 드라마 ・ 한국'],
34445,미트 페어런츠,3.3,3만,['2000 ・ 코미디 ・ 미국'],
34447,,0,0,[],
34451,토르 : 마법망치의 전설,2.6,"7,701",['2011 ・ 애니메이션 ・ 아이슬란드'],1시간 23분
34452,지.아이.조 2,3.1,14만,['2013 ・ 액션 ・ 미국'],
34454,Lunch Times,1.6,7,['2002 ・ 판타지 ・ 한국'],5분
34456,정말 큰 내 마이크,3.2,16,['2005 ・ 한국'],23분
34457,,0,0,[],
34458,아직 지나지 않은 여름,2.8,13,['2017 ・ 드라마 ・ 한국'],
34460,너는 펫,2.2,6만,['2011 ・ 로맨틱코미디 ・ 한국'],1시간 50분
34470,,0,0,[],
34471,둥둥,2.5,1,['2000 ・ 한국'],13분
34472,,0,0,[],
34473,아이 인사이드,3.4,1만,['2003 ・ 스릴러 ・ 미국'],
34474,,0,0,[],
34477,무료항공권,2.6,46,['2009 ・ 드라마 ・ 한국'],15분
34478,아비정전,3.7,7,['2008 ・ 판타지 ・ 한국'],21분
34484,천군,2.6,2만,['2005 ・ 시대극 ・ 한국'],
34488,봄 여름 가을 겨울 그리고 봄,3.6,6만,['2003 ・ 드라마 ・ 한국'],
34491,Headwinds,2.8,3,['2011 ・ 드라마 ・ 프랑스'],1시간 31분
34492,더 코메디,3.4,5,['2012 ・ 드라마 ・ 미국'],1시간 30분
34494,블루 엘리펀트,5.0,3,['2009 ・ 애니메이션 ・ 미국'],1시간 15분
34497,라이브 박스 vol.2 심성락과 인생 with 두번째 달,0,0,['2012 ・ 한국'],1시간 30분
34498,지슬 - 끝나지 않은 세월2,3.8,3만,['2012 ・ 드라마 ・ 한국'],1시간 48분
34499,,0,0,[],
34504,Me...Steak,3.8,3,['1998 ・ 드라마 ・ 한국'],18분
34513,,0,0,[],
34515,내 친구 부치 리카,0,0,['2007 ・ 코미디 ・ 미국'],1시간 10분
34516,그리스 로마 신화 - 올림포스 가디언 - 기간테스 대역습,3.3,954,['2004 ・ 애니메이션 ・ 한국'],1시간 27분
34517,,0,0,[],
34518,,0,0,[],
34519,,0,0,[],
34523,,0,0,[],
34525,Scooby-Doo! and the Cyber Chase,3.8,2,['2001 ・ 가족 ・ 미국'],
34526,,0,0,[],
34527,,0,0,[],
34531,코코 말하는 고릴라,3.1,10,['1977 ・ 미국'],
34532,별난친구들,3.6,10,['2011 ・ 코미디 ・ 스페인'],1시간 38분
34536,,0,0,[],
34537,"아부, 선 오브 아담",0,0,['2011 ・ 드라마 ・ 인도'],1시간 41분
34542,,0,0,[],
34543,필리 브라운,1.5,2,['2012 ・ 드라마 ・ 미국'],1시간 20분
34544,더 퍼스트 타임,3.5,"8,390",['2011 ・ 로맨스 ・ 미국'],1시간 38분
34548,러브,2.7,6,['2012 ・ 드라마 ・ 미국'],1시간 34분
34555,사이먼 킬러,3.0,33,['2012 ・ 드라마 ・ 프랑스 ・ 미국'],1시간 45분
34557,써로게이트,0,0,['2013 ・ 드라마 ・ 미국'],1시간 30분
34558,아이 웨이웨이는 미안해 하지 않는다,3.9,31,['2011 ・ 다큐멘터리 ・ 미국'],1시간 31분
34562,파인딩 노스,0,0,['1998 ・ 로맨틱코미디 ・ 미국'],1시간 35분
34564,하우 투 서바이브 어 플레이그,3.2,90,['2011 ・ 다큐멘터리 ・ 미국'],2시간 00분
34566,,0,0,[],
34567,마리나 아브라모비치가 여기 있다,4.2,"1,946",['2012 ・ 다큐멘터리 ・ 미국'],
34568,미 엣 더 주,0,0,['2012 ・ 다큐멘터리 ・ 미국'],1시간 30분
34570,더 퀸스 오브 베르사유,3.5,18,['2012 ・ 다큐멘터리 ・ 미국 ・ 네덜란드 ・ 영국 ・ 덴마크'],1시간 40분
34574,에반게리온: Q,3.6,4만,['2012 ・ 애니메이션 ・ 일본'],1시간 35분
34575,파더스 체어,3.3,15,['2012 ・ 브라질'],1시간 28분
34577,L,3.1,25,['2011 ・ 드라마 ・ 그리스'],1시간 27분
34578,라스트 엘비스,2.6,30,['2012 ・ 드라마 ・ 아르헨티나'],
34580,마이 브라더 더 데블,3.2,5,['2011 ・ 드라마 ・ 영국'],1시간 51분
34586,영 앤 뷰티풀,3.2,2만,['2013 ・ 드라마 ・ 프랑스'],1시간 34분
34590,"바나나 소송사건, 그 이후",3.8,281,['2011 ・ 드라마 ・ 스웨덴 ・ 덴마크 ・ 독일 ・ 영국 ・ 미국'],
34593,디 임포스터,3.5,426,['2011 ・ 다큐멘터리 ・ 영국'],1시간 39분
34594,인디 게임,3.6,"1,594",['2011 ・ 다큐멘터리 ・ 캐나다'],1시간 34분
34595,,0,0,[],
34597,푸틴의 키스,3.9,16,['2011 ・ 다큐멘터리 ・ 덴마크'],1시간 25분
34598,,0,0,[],
34599,서칭 포 슈가맨,3.8,5만,['2012 ・ 다큐멘터리 ・ 영국 ・ 스웨덴'],
34600,,0,0,[],
34605,연합 함대 사령장관 야마모토 이소로쿠,3.0,265,['2011 ・ 전쟁 ・ 일본'],2시간 20분
34611,라 리네아 렉타,0,0,['2006 ・ 스페인'],
34614,,0,0,[],
34624,북경 예스 마담 3 - 대인가도,1.9,4,['1992 ・ 액션 ・ 홍콩'],
34629,,0,0,[],
34630,공자춘추전국시대 감독판,2.7,"7,072",['2010 ・ 전쟁 ・ 중국'],
34634,Rodina ili smert,0,0,['2011'],1시간 39분
34637,인 더 하우스,3.8,2만,['2012 ・ 코미디 ・ 프랑스'],
34639,늙은 염소들,0,0,['2010 ・ 코미디 ・ 미국'],1시간 31분
34642,아파르타멘토 애드 아테네,3.5,1,['2011 ・ 드라마 ・ 이탈리아'],1시간 35분
34643,어 싸우즌드 컷츠,0,0,['2012 ・ 스릴러 ・ 미국'],
34644,오거스트,3.5,4,['2011 ・ 로맨스 ・ 미국'],1시간 40분
34645,스피크 업,5.0,1,['2011 ・ 드라마 ・ 파키스탄'],2시간 45분
34649,지기,0,0,['2008 ・ 중국'],
34650,아스타 라 비스타,2.7,442,['2011 ・ 드라마 ・ 벨기에'],
34652,볼츠와 블립: 달나라 리그의 전투,2.8,522,['2012 ・ 가족 ・ 캐나다 ・ 한국'],
34653,천상의 육체,3.5,58,['2011 ・ 드라마 ・ 이탈리아 ・ 프랑스 ・ 스위스'],1시간 40분
34654,별난친구들,3.6,10,['2011 ・ 코미디 ・ 스페인'],1시간 38분
34656,데이비드 게일,3.9,6만,['2003 ・ 드라마 ・ 미국'],
34657,보이드 갱,2.4,385,['2011 ・ 드라마 ・ 캐나다'],
34659,,0,0,[],
34661,포에버랜드,0,0,['2011 ・ 드라마 ・ 캐나다'],1시간 33분
34663,,0,0,[],
34666,,0,0,[],
34671,키스 미,3.4,504,['2011 ・ 로맨스 ・ 스웨덴'],1시간 47분
34672,망각의 땅,3.7,10,['2011 ・ 드라마 ・ 프랑스'],1시간 43분
34675,,0,0,[],
34688,헤이와이어,2.6,"5,927",['2011 ・ 액션 ・ 아일랜드 ・ 미국'],1시간 33분
34689,원펀치,3.4,447,['2011 ・ 코미디 ・ 캐나다 ・ 미국'],1시간 32분
34692,,0,0,[],
34699,,0,0,[],
34700,수렁에서 건진 내 딸 2,2.1,24,['1986 ・ 한국'],2시간 00분
34701,나 도 좀 먹 고 살 자,0,0,['2012 ・ 한국'],5분
34702,절정,4.0,1,['1978 ・ 한국'],1시간 50분
34705,아부쟁이 얍,0,0,['2015'],1시간 33분
34709,나는 간다,0,0,['1942 ・ 한국'],
34711,,0,0,[],
34714,,0,0,[],
34715,,0,0,[],
34721,,0,0,[],
34723,해양천국,3.5,174,['2010 ・ 드라마 ・ 홍콩'],1시간 36분
34724,,0,0,[],
34725,Bauhaus - Modell und Mythos,0,0,['2009 ・ 다큐멘터리 ・ 독일'],1시간 43분
34726,,0,0,[],
34730,해피해피쿠킹타임,2.3,29,['2017 ・ 다큐멘터리 ・ 한국'],8분
34731,,0,0,[],
34732,"맛있는 섹스, 맛있는 상상 2",2.2,43,['2012 ・ 로맨스 ・ 한국'],50분
34733,,0,0,[],
34735,직지코드,3.3,685,['2017 ・ 다큐멘터리 ・ 한국'],
34736,,0,0,[],
34737,삼천만의 꽃다발,3.2,8,['1951 ・ 한국'],
34738,단지의 모험,0,0,['2010 ・ 애니메이션 ・ 한국'],
34739,땅을 사라,2.3,6,['2016 ・ 다큐멘터리 ・ 프랑스'],1시간 6분
34740,,0,0,[],
34741,작은 여자 큰 여자 그 사이에 낀 남자 - 에피소드 2,2.5,1,['2006 ・ 한국'],
34742,나의 인생 고백 2,0,0,['1975 ・ 한국'],1시간 25분
34743,다이너소어 프로젝트,2.7,22,['2012 ・ 스릴러 ・ 영국'],1시간 23분
34744,,0,0,[],
34745,,0,0,[],
34747,,0,0,[],
34748,,0,0,[],
34749,,0,0,[],
34750,,0,0,[],
34751,천 개의 레이블: 아이슬란드 팝 기행,3.6,45,['2013 ・ 다큐멘터리 ・ 아이슬란드'],52분
34752,발 가는 대로,2.7,15,['2015 ・ 애니메이션 ・ 스페인'],15분
34753,,0,0,[],
34754,,0,0,[],
34755,세컨드 선 세컨드 도터 스토리,0,0,['2015 ・ 일본'],1시간 00분
34756,,0,0,[],
34757,,0,0,[],
34759,,0,0,[],
34760,,0,0,[],
34761,,0,0,[],
34762,인목대비,3.0,6,['1962 ・ 드라마 ・ 한국'],2시간 5분
34763,,0,0,[],
34764,노다메 칸타빌레 최종악장,3.6,7만,['2010 ・ 음악 ・ 일본'],2시간 2분
34765,Popcorn Sutton - A Hell of a Life,0,0,['2014 ・ 다큐멘터리'],
34766,얄숙이들의 개성시대,2.5,14,['1987 ・ 한국'],1시간 40분
34768,,0,0,[],
34769,,0,0,[],
34771,,0,0,[],
34772,,0,0,[],
34773,,0,0,[],
34774,,0,0,[],
34775,,0,0,[],
34776,,0,0,[],
34777,,0,0,[],
34778,,0,0,[],
34780,친구 아내는 야한 가정교사,0,0,['2017 ・ 성인 ・ 일본'],1시간 1분
34781,,0,0,[],
34782,아트 스쿨 컨피덴셜,3.3,321,['2006 ・ 드라마 ・ 미국'],1시간 42분
34783,좋은 여행의 어떤 예,0,0,['2012 ・ 드라마 ・ 한국'],25분
34784,,0,0,[],
34786,이제 난 용감해질거야,2.4,40,['2010 ・ 한국'],
34787,점박이 : 한반도의 공룡3D,3.1,3만,['2011 ・ 가족 ・ 한국'],
34789,,0,0,[],
34790,,0,0,[],
34792,하이 스쿨 뮤지컬 2,3.6,10만,['2007 ・ 틴에이저 ・ 미국'],1시간 44분
34793,,0,0,[],
34794,,0,0,[],
34795,모든 개들은 천국에 간다 2,2.8,29,['1997 ・ 애니메이션 ・ 미국'],
34796,,0,0,[],
34797,하이파이브,0,0,['2015 ・ 다큐멘터리 ・ 한국'],10분
34798,힐링캠프 : 한 세상,1.6,19,['2017'],
34799,,0,0,[],
34800,시대정신 2,3.4,"3,644",['2008 ・ 다큐멘터리 ・ 미국'],
34801,,0,0,[],
34802,,0,0,[],
34803,연변연가 2 - 애랑일기,0,0,['1997 ・ 한국'],1시간 30분
34804,,0,0,[],
34805,,0,0,[],
34807,,0,0,[],
34808,,0,0,[],
34809,걸 식스,2.7,140,['1996 ・ 드라마 ・ 미국'],1시간 48분
34811,,0,0,[],
34812,,0,0,[],
34813,,0,0,[],
34814,,0,0,[],
34815,,0,0,[],
34816,,0,0,[],
34817,영어 완전 정복,2.4,5만,['2003 ・ 코미디 ・ 한국'],
34818,,0,0,[],
34819,개그맨,3.0,"2,456",['1988 ・ 코미디 ・ 한국'],2시간 7분
34820,공유,3.5,2,['2001 ・ 한국'],10분
34821,,0,0,[],
34822,,0,0,[],
34823,스커지,2.2,319,['2008 ・ 스릴러 ・ 미국 ・ 캐나다'],
34824,,0,0,[],
34825,"웃어라, 토끼!",1.3,6,['2004 ・ 공포 ・ 한국'],20분
34826,,0,0,[],
34827,,0,0,[],
34828,,0,0,[],
34829,,0,0,[],
34830,,0,0,[],
34831,,0,0,[],
34832,거짓말 섹스가 좋아2,1.7,67,['2013 ・ 로맨스 ・ 한국'],1시간 20분
34833,,0,0,[],
34834,우리 동네 이발소에 무슨 일이 2,3.2,97,['2004 ・ 코미디 ・ 미국'],
34835,제3의 사랑,2.9,"3,229",['2014 ・ 드라마 ・ 중국 ・ 한국'],
34836,,0,0,[],
34838,이브의 유혹 - 좋은 아내,2.5,249,['2007 ・ 드라마 ・ 한국'],1시간 30분
34839,,0,0,[],
34840,,0,0,[],
34841,Janne da Arc on the Night Bus,0,0,['2003'],25분
34842,,0,0,[],
34843,사막의 춤,3.5,49,['2003 ・ 드라마 ・ 이란'],1시간 35분
34844,,0,0,[],
34845,,0,0,[],
34846,드라마6번,0,0,['2011 ・ 단편 ・ 한국'],3분
34847,,0,0,[],
34848,,0,0,[],
34849,안녕 내사랑,2.9,11,['2013 ・ 로맨스 ・ 중국'],
34850,,0,0,[],
34851,므네모시네,0,0,['2002 ・ 전쟁 ・ 미국'],
34853,,0,0,[],
34854,,0,0,[],
34855,,0,0,[],
34856,,0,0,[],
34858,,0,0,[],
34859,,0,0,[],
34860,팝 스타 온 아이스,0,0,['2009 ・ 다큐멘터리 ・ 미국'],1시간 25분
34861,,0,0,[],
34862,,0,0,[],
34863,,0,0,[],
34864,,0,0,[],
34865,,0,0,[],
